playerID,gameID,prolificID,bonus,score,role,rotation,completedStudy,finishedTraining,ended,pretestItemGap,posttestItemGap,roundsInactive,exitStepDone,age,gender,strategy,enjoy,feedback,education,gamefailed
01M0WX0T78NE9YVPZSCJ5NTGX1,01M0WWQ74ND1AHANTF309RNWJE,698a7999e94d553c9b39fa49,0.18,0.18,matcher,0,NA,FALSE,game ended,4,4,5,NA,NA,NA,NA,NA,NA,NA,NA
01M0WX5VAPVJ9YCV9FVF85YXW2,01M0WWQAZRRWZPK3N7VE24RFV2,6a08d479a47f468584f7e4db,0,0,matcher,90,NA,FALSE,game ended,4,4,5,TRUE,25,male,,,i sat waiting on my computer for almost half an hour and nobody joined.,high-school,NA
01M0WXSYNRXCYGT80QAR430CBD,01M0WWQAZPP7VBJF1WXDE2YKFW,69ea3b15912a521f9cff7fe4,1.26,1.26,director,90,TRUE,TRUE,game ended,4,4,0,TRUE,26,Female,"My strategy was at first to try to describes everything very literally, but then my partner and I developed code words that immediately indicated what we were trying to say. We called one shape a ""boat"" and another a ""tree"". We were also able to immediately rule out 2/4 of the options every round by instantly calling out an unmissable feature, like ""one small triangle in the bottom left corner"" or ""empty white rectangle in the center"".","I really enjoyed playing with my partner. We had a couple misses in the building, but once we built a rhythm and implicitly understood some code words, it became incredibly easy and we never missed another one.",I had a great time playing this game. I didn't encounter any issues. ,high-school,NA
01M0WXZZS0J6MHNA0ABXV3C00G,null,67a7d4e19fee63cbe222ae02,NA,NA,NA,NA,NA,NA,no more games,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,nogame
01M0WYB7TYV1NKNT91YTQYN76X,null,66d5d931d3a66fa93bdfddb9,NA,NA,NA,NA,NA,NA,no more games,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01M0WY0C090AZDG2K9X542KKDB,01M0WWQ9XVXJV1JR4118CY5W09,69ef7af401f65f406ca12641,1.35,1.35,director,0,TRUE,TRUE,game ended,4,4,0,TRUE,39,male,deconstructing the object to see each shape ,I enjoyed it because they helped shape how I see and describe the objects,none,master,NA
01M0WYAQJ67ARFEBN9NYN6Q63G,null,6a21dca5a615df63e52c6f89,NA,NA,NA,NA,NA,NA,no more games,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,nogame
01M0WYD27PCMGYRRX23HHYX14S,01M0WWQAZRRWZPK3N7VE24RFV2,671c1c699ca32031a83014e8,0,0,director,90,NA,FALSE,game ended,4,4,4,TRUE,35,Male,Player didn't respond.,Player didn't respond.,Player didn't respond.,bachelor,NA
01M0WWVKKHKMSSWB9WS1N6GRNZ,01M0WWQ74ND1AHANTF309RNWJE,69fca44d94ec531037c06e3f,0.18,0.18,director,0,NA,FALSE,game ended,4,4,0,TRUE,30,Male,Look for the white shapes to narrow down the block ,I did until they stopped playing,,high-school,NA
01M0WX9MXH1SX7Q50079HW9F7E,01M0WWQ74H7CSGCPAHPDSCJ0PV,5e909d6c5321c13abee11725,1.38,1.38,matcher,0,TRUE,TRUE,game ended,4,4,0,TRUE,38,female,I think we both ended up agreeing on the same descriptions to use that one more relatable to both of us,"Yeah I thought it was great fun, I thought we worked really well together",a really fun study,master,NA
01M0WXR5QX7RT0467EJCPJ9Y2Y,01M0WWQ9XW83PGVA4HF3WT9HVR,6401df832098d19588cc570e,1.26,1.26,director,0,TRUE,TRUE,game ended,4,4,0,TRUE,22,male,get on the same wavelength as my partner and we both got better as the game went on,i did enjoy it as we came up with funny terms to understand which specific shapes were,,high-school,NA
01M0WY1FH5WQS14DQ3V446M8AM,01M0WWQ9XT2Q7RF2RHNCTTRDNK,69f586544b0395e639960cd5,1.08,1.08,director,0,TRUE,TRUE,game ended,4,4,0,TRUE,29,male,"I would single out the most obvious thing about each diagram and write my description around that, making it easy to read and understand.","I enjoyed the game, but not with my partner. The game itself was easy and fun, but my partner was no good, kept giving me bad descriptions and show how blamed me for not choosing the right answers. All the bonus we earned was because of my answers. I would play again but with a much better person.",No problems. ,high-school,NA
01M0WY3K75Y3XTXDB6P3ZYNVJC,null,668bf688d58206e61f399a88,NA,NA,NA,NA,NA,NA,no more games,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,nogame
01M0WY0YPE1FGB7GNWHKCY08ZN,01M0WWQAZTRSENW9JN2FSQ4BA7,69136f38f5249650219269cd,1.38,1.38,matcher,0,TRUE,TRUE,game ended,4,4,0,TRUE,29,Female,started describing as I saw shapes. Switched to using the descriptions my partner had used previously after I had learned them,"Yes, I feel we improved and learned each others' responses which made it fun and quick.",No problems,master,NA
01M0WY0ZH1WT8EG2B1GECXH267,null,6a082b5b68b0948671bfa8d5,NA,NA,NA,NA,NA,NA,no more games,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,nogame
01M0WY7DPF660WVJNMGRMK5M9S,null,6a06fc17dd60a09eb3ac9bbd,NA,NA,NA,NA,NA,NA,no more games,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01M0WY09KXZQGZCXQXZTYFDW8C,01M0WWQAZTRSENW9JN2FSQ4BA7,6a05f99c631ebdf67b5a0e72,1.38,1.38,director,0,TRUE,TRUE,game ended,4,4,0,TRUE,24,Male,give ideas I think they would understand,Yes it was fun we understood,No problems,bachelor,NA
01M0WY1V9QET0HYE5N0547967Y,01M0WWQ9XT2Q7RF2RHNCTTRDNK,6a184212ea66f7cc4204ee31,1.08,1.08,matcher,0,TRUE,TRUE,game ended,4,4,0,TRUE,33,male,reasoning game and fun,yeah i enjoyed,it was interesting wanna play more.,master,NA
01M0WYBGSS62RX5Y71MW1FCRN1,null,69c2a1ca204d43b99f204424@email.prolific.com,NA,NA,NA,NA,NA,NA,no more games,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,nogame
01M0WWZBDJ6CA985ZGF4JYT3P6,01M0WWQ74M3NWYAJGQB0ESKAD2,6a01ff6ad4eb5460ca9a3013,0.06,0.06,matcher,0,NA,FALSE,game ended,4,4,0,TRUE,22,Woman ,I tried to come up with the best description that my partner would be able to guess easilly,I was enjoying the game up until my partner disapeared,"My partner stopped playing mid game, was v disapointing",bachelor,NA
01M0WY4JZQE915KR4BHJPDE8TJ,null,67e5ebfad8af26b1bb60e460,NA,NA,NA,NA,NA,NA,no more games,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,nogame
01M0WYBYEQQ7EFHYAQK3ME9XWA,null,66fd3f6c93c24ecc119be354,NA,NA,NA,NA,NA,NA,no more games,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,nogame
01M0WX667JRE4461924BYZ6YJ1,01M0WWQ74H7CSGCPAHPDSCJ0PV,6a1f029546cb342499d058e0,1.38,1.38,director,0,TRUE,TRUE,game ended,4,4,0,TRUE,31,Male,i was attentive,yes ,i didnt encounter any problems,master,NA
01M0WX6P9Z1RRJ4EYT8244HGBW,01M0WWQ74M3NWYAJGQB0ESKAD2,69dae6f92db929c858644edc,0.06,0.06,director,0,NA,FALSE,game ended,4,4,5,TRUE,27,woman,i mainly was trying to describe the images but comparing them to familiar and common everyday objects.,"Yes, it felt like i had someone to help me decide the correct answer and i just value teamwork in general. It felt rewarding to choose the correct answer and positively indetify the correct image. and in contarry i was so ashamed and disappointed when i got one wrong because i didnt want to let my partner down. ","A tree limb hit my powerlines and knocked my connection for a moment. The study ended automatically i am assuming, im highly upset it happened because i wouldnt have started the survey if i knew they were coming to do such loud, messy, and inconvenient work near my home. I do apologize for not giving all the data that you guys were looking for and understand if you cant compensate. I enjoyed the portion of the game that i was able to play very much!",high-school,NA
01M0WY0ECEQWZG8FEZD72ENETD,01M0WWQ9XW83PGVA4HF3WT9HVR,69b82db646bc5827579dc5ca,1.26,1.26,matcher,0,TRUE,TRUE,game ended,4,4,0,TRUE,NA,NA,NA,NA,NA,NA,NA
01M0WY2T8PBZPVGKC7BWFHJ59J,01M0WWQAZPP7VBJF1WXDE2YKFW,5efa33c4e9f4160ffd817db9,1.26,1.26,matcher,90,TRUE,TRUE,game ended,4,4,0,TRUE,44,Female,learnt to keep text basic,My partner and I gained an understanding of each other,It was fun,high-school,NA
01M0WY49SS5HGSMR6JQKY4TSXG,null,6765de7067ea602040582812,NA,NA,NA,NA,NA,NA,no more games,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
01M0WY0ENCGBGZ9MKY7CZKA71D,01M0WWQ9XVXJV1JR4118CY5W09,6a02ed5bd6acf52c07ab46fa,1.35,1.35,matcher,0,TRUE,TRUE,game ended,4,4,0,TRUE,40,Male,simple descriptions about something unique with the shape,"yes, was fun to be part of a team",have a nice day :),high-school,NA
