id,avatar,avatarLastChangedAt,bonus,bonusLastChangedAt,clicked,clickedLastChangedAt,ended,endedLastChangedAt,endedInactive,endedInactiveLastChangedAt,exitStepDone,exitStepDoneLastChangedAt,exitSurvey,exitSurveyLastChangedAt,gameID,gameIDLastChangedAt,intro,introLastChangedAt,introDone,introDoneLastChangedAt,lobbyTimerGameID,lobbyTimerGameIDLastChangedAt,lobbyTimerID,lobbyTimerIDLastChangedAt,name,nameLastChangedAt,nameColor,nameColorLastChangedAt,numRoundsInactive,numRoundsInactiveLastChangedAt,participantID,participantIDLastChangedAt,participantIdentifier,participantIdentifierLastChangedAt,partner,partnerLastChangedAt,role,roleLastChangedAt,score,scoreLastChangedAt,src,srcLastChangedAt,treatment,treatmentLastChangedAt,treatmentName,treatmentNameLastChangedAt,urlParams,urlParamsLastChangedAt
01JH1GB0VR9YQNZXSBNQGGRBQW,https://api.dicebear.com/8.x/rings/svg?seed=Repi,2025-01-07T23:16:19.726825804Z,1.620000,2025-01-07T23:51:57.949522659Z,/tangrams/188_398.png,2025-01-07T23:51:54.678528712Z,game ended,2025-01-07T23:51:58.034452824Z,false,2025-01-07T23:16:19.726825804Z,true,2025-01-07T23:53:22.686954109Z,"{""age"":""32"",""gender"":""female "",""strategy"":""describing shapes"",""enjoy"":""yes i did, made me laugh with some of the things they were coming up with to describe it "",""feedback"":""i had fun no problems "",""education"":""high-school""}",2025-01-07T23:53:22.698857468Z,01JH1FPYSD6AFHHMZW70VZN68N,2025-01-07T23:09:24.538576325Z,2,2025-01-07T23:10:22.535039821Z,true,2025-01-07T23:16:11.624639615Z,01JH1FPYSD6AFHHMZW70VZN68N,2025-01-07T23:16:18.3268996Z,01JH1GVZRK1TBV4NQHNMM8Q7NP,2025-01-07T23:16:18.3268996Z,Repi,2025-01-07T23:16:19.726825804Z,#29828D,2025-01-07T23:16:19.726825804Z,0,2025-01-07T23:27:03.34133584Z,01JH1GB028RNYE4GETVN8E7MW8,2025-01-07T23:07:02.392493026Z,5a38c23a50833c0001eeac9f,2025-01-07T23:07:02.392493026Z,01JH1GBNHJM7YQ13QAZ9FXAW07,2025-01-07T23:16:19.726825804Z,director,2025-01-07T23:51:43.417523592Z,1.620000,2025-01-07T23:51:57.949522659Z,/avatars/blue.png,2025-01-07T23:16:19.726825804Z,"{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-07T23:07:02.402366841Z,full-noncomp,2025-01-07T23:07:02.402366841Z,"{""participantKey"":""5a38c23a50833c0001eeac9f"",""STUDY_ID"":""677db0490745f4eefd1ecf86"",""SESSION_ID"":""677db36af582f9d28df7fda5""}",2025-01-07T23:07:02.935937855Z
01JH1GB9JK8VBSNVGSTF4TDQFC,https://api.dicebear.com/8.x/rings/svg?seed=Minu,2025-01-07T23:12:54.130109284Z,1.470000,2025-01-07T23:36:46.09638776Z,/tangrams/90_84.png,2025-01-07T23:36:42.930668744Z,game ended,2025-01-07T23:36:46.161609855Z,false,2025-01-07T23:12:54.130109284Z,true,2025-01-07T23:38:25.984464637Z,"{""age"":""44"",""gender"":""female"",""strategy"":""how the inital image appeared and remembering how the director described it previously"",""enjoy"":""I did, he was quick and quickly had names for each image"",""feedback"":""at times it wouldn't highlight the image and respond"",""education"":""high-school""}",2025-01-07T23:38:25.973836723Z,01JH1FPYSBXXZ6KPHKHW6Q97EB,2025-01-07T23:08:59.517328553Z,2,2025-01-07T23:11:12.228981319Z,true,2025-01-07T23:12:53.754705269Z,01JH1FPYSBXXZ6KPHKHW6Q97EB,2025-01-07T23:12:53.781994956Z,01JH1GNR0FEWSJ3Q7EAA0DDJ09,2025-01-07T23:12:53.781994956Z,Minu,2025-01-07T23:12:54.130109284Z,#444EA1,2025-01-07T23:12:54.130109284Z,0,2025-01-07T23:14:47.904007655Z,01JH1GB9A0BYZVW428NT441TEK,2025-01-07T23:07:11.315131404Z,658450b145755619f37a1294,2025-01-07T23:07:11.315131404Z,01JH1G7TBAW0TJF4QY7G4XKC3K,2025-01-07T23:12:54.130109284Z,matcher,2025-01-07T23:36:33.761672758Z,1.470000,2025-01-07T23:36:46.09638776Z,/avatars/red.png,2025-01-07T23:12:54.130109284Z,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-07T23:07:11.326446338Z,full-comp-between,2025-01-07T23:07:11.326446338Z,"{""participantKey"":""658450b145755619f37a1294"",""STUDY_ID"":""677db0490745f4eefd1ecf86"",""SESSION_ID"":""677db389d93ed843157141d5""}",2025-01-07T23:07:11.468263068Z
01JH1FV7Z3BJ6SAT2Z6EXCSV2P,https://api.dicebear.com/8.x/rings/svg?seed=Repi,2025-01-07T23:04:08.24967533Z,1.890000,2025-01-07T23:26:47.216861967Z,/tangrams/440_145.png,2025-01-07T23:26:44.038031753Z,game ended,2025-01-07T23:26:47.275530338Z,false,2025-01-07T23:04:08.24967533Z,true,2025-01-07T23:28:34.690361591Z,"{""age"":""39"",""gender"":""male"",""strategy"":""find something it looked like and describe as that"",""enjoy"":""yeah we were pretty much in tune with how each other described things"",""feedback"":""some lag at times but nothing major"",""education"":""high-school""}",2025-01-07T23:28:34.69795059Z,01JH1F0VW7XB18ASJ0NKJ196TK,2025-01-07T22:58:25.385279741Z,2,2025-01-07T23:00:26.905374356Z,true,2025-01-07T23:02:24.354302683Z,01JH1F0VW7XB18ASJ0NKJ196TK,2025-01-07T23:02:24.364959094Z,01JH1G2HB778PYCRAEQ3H4QHZ1,2025-01-07T23:02:24.364959094Z,Repi,2025-01-07T23:04:08.24967533Z,#29828D,2025-01-07T23:04:08.24967533Z,0,2025-01-07T23:08:15.880258636Z,01JH1FV7A0W91ZV3TT4GGA5092,2025-01-07T22:58:25.379940025Z,5dc0d311e5dc4108137d7c10,2025-01-07T22:58:25.379940025Z,01JH1G2MSZ3J6DCAMVNV5RMHWN,2025-01-07T23:04:08.24967533Z,director,2025-01-07T23:26:14.066512952Z,1.890000,2025-01-07T23:26:47.216861967Z,/avatars/blue.png,2025-01-07T23:04:08.24967533Z,"{""contextSize"":4,""contextStructure"":""comp-within"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-07T22:58:25.385279741Z,full-comp-within,2025-01-07T22:58:25.385279741Z,"{""participantKey"":""5dc0d311e5dc4108137d7c10"",""STUDY_ID"":""677db0490745f4eefd1ecf86"",""SESSION_ID"":""677db128578969ea16ad9524""}",2025-01-07T22:58:25.772978543Z
01JH1G2K4Y4Y76VDGDG3R2VZNF,https://api.dicebear.com/8.x/rings/svg?seed=Repi,2025-01-07T23:05:02.587610046Z,1.830000,2025-01-07T23:33:40.270817363Z,/tangrams/267_63.png,2025-01-07T23:33:37.078463559Z,game ended,2025-01-07T23:33:40.339102725Z,false,2025-01-07T23:05:02.587610046Z,true,2025-01-07T23:34:52.76180821Z,"{""age"":""38"",""gender"":""Male"",""strategy"":""Speed in identifying "",""enjoy"":""Yes it was fun"",""feedback"":"""",""education"":""bachelor""}",2025-01-07T23:34:52.746876894Z,01JH1F2GX7DR1ZQG7AGSN3KRT7,2025-01-07T23:04:08.040199671Z,2,2025-01-07T23:04:07.331277756Z,true,2025-01-07T23:05:02.323954589Z,01JH1F2GX7DR1ZQG7AGSN3KRT7,2025-01-07T23:05:02.35088747Z,01JH1G7BM99YRMZQ1DJCX8JV5B,2025-01-07T23:05:02.35088747Z,Repi,2025-01-07T23:05:02.587610046Z,#29828D,2025-01-07T23:05:02.587610046Z,0,2025-01-07T23:05:02.587610046Z,01JH1G2JS65WMCJBTRN151R0Y2,2025-01-07T23:02:26.207015685Z,64fe4015250d9972529f7d10,2025-01-07T23:02:26.207015685Z,01JH1G3JJ3BXQMGP4WP8VP19T2,2025-01-07T23:05:02.587610046Z,director,2025-01-07T23:33:09.998472557Z,1.830000,2025-01-07T23:33:40.270817363Z,/avatars/blue.png,2025-01-07T23:05:02.587610046Z,"{""contextSize"":4,""contextStructure"":""comp-within"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-07T23:02:26.216218442Z,full-comp-within,2025-01-07T23:02:26.216218442Z,"{""participantKey"":""64fe4015250d9972529f7d10"",""STUDY_ID"":""677db0490745f4eefd1ecf86"",""SESSION_ID"":""677db259457d35bb4c54e8d3""}",2025-01-07T23:02:26.395874109Z
01JH1GEW8SCE4D0R6DFDZV6ZC0,,,,,,,no more games,2025-01-07T23:25:42.174736779Z,,,,,,,null,2025-01-07T23:25:42.174736779Z,2,2025-01-07T23:12:16.335707311Z,,,,,,,,,,,,,01JH1GEW05YK9HX0BR6QYJWTCQ,2025-01-07T23:09:08.761509279Z,664fa64312a20fe00cfb4731,2025-01-07T23:09:08.761509279Z,,,,,,,,,"{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-07T23:09:08.770153585Z,full-noncomp,2025-01-07T23:09:08.770153585Z,"{""participantKey"":""664fa64312a20fe00cfb4731"",""STUDY_ID"":""677db0490745f4eefd1ecf86"",""SESSION_ID"":""677db27063226c244a9e981c""}",2025-01-07T23:09:08.925199445Z
01JH1H6986TMHYXR5CF4YHBS1G,https://api.dicebear.com/8.x/rings/svg?seed=Repi,2025-01-07T23:37:11.789999101Z,1.710000,2025-01-08T00:16:33.678773135Z,/tangrams/192_219.png,2025-01-08T00:16:30.418344026Z,game ended,2025-01-08T00:16:33.768128762Z,false,2025-01-07T23:37:11.789999101Z,true,2025-01-08T00:18:21.053669482Z,"{""age"":""31"",""gender"":""male"",""strategy"":""very calculative"",""enjoy"":""Yes I did, My partner is smart"",""feedback"":""exciting game"",""education"":""master""}",2025-01-08T00:18:21.039545709Z,01JH1G90GCS7MK45RCXBYEJBCN,2025-01-07T23:21:55.734372614Z,2,2025-01-07T23:27:14.883668308Z,true,2025-01-07T23:30:27.347627115Z,01JH1G90GCS7MK45RCXBYEJBCN,2025-01-07T23:30:27.366805411Z,01JH1HNWX28K31DXA8J52A4DDP,2025-01-07T23:30:27.366805411Z,Repi,2025-01-07T23:37:11.789999101Z,#29828D,2025-01-07T23:37:11.789999101Z,0,2025-01-07T23:54:11.648203552Z,01JH1H67Z59J1C5JJ9DDK69HVX,2025-01-07T23:21:55.71853853Z,676ae4e3b72beab078b05dba,2025-01-07T23:21:55.71853853Z,01JH1HG392QEBSGHD5HDZVESB5,2025-01-07T23:37:11.789999101Z,director,2025-01-08T00:16:01.557607255Z,1.710000,2025-01-08T00:16:33.678773135Z,/avatars/blue.png,2025-01-07T23:37:11.789999101Z,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-07T23:21:55.734372614Z,full-comp-between,2025-01-07T23:21:55.734372614Z,"{""participantKey"":""676ae4e3b72beab078b05dba"",""STUDY_ID"":""677db0490745f4eefd1ecf86"",""SESSION_ID"":""677db6b64c31a1a86d89080b""}",2025-01-07T23:21:56.4710306Z
01JH1H8K92W156NGC9244J8T39,,,,,,,no more games,2025-01-07T23:25:42.174736779Z,,,true,2025-01-07T23:25:45.680020424Z,"{""gamefailed"":""nogame""}",2025-01-07T23:25:45.668654876Z,null,2025-01-07T23:25:42.174736779Z,2,2025-01-07T23:23:19.533213122Z,,,,,,,,,,,,,01JH1H8HY7KY7M9YR9TS84XX41,2025-01-07T23:23:11.522446451Z,6772ab7969901552211f06ed,2025-01-07T23:23:11.522446451Z,,,,,,,,,"{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-07T23:23:11.539863254Z,full-noncomp,2025-01-07T23:23:11.539863254Z,"{""participantKey"":""6772ab7969901552211f06ed"",""STUDY_ID"":""677db0490745f4eefd1ecf86"",""SESSION_ID"":""677db73204f79dacbe1fd6f3""}",2025-01-07T23:23:12.191346315Z
01JH1G7RWPX133DSN6PM8CRRCV,,,,,,,no more games,2025-01-07T23:37:10.875019944Z,,,,,,,null,2025-01-07T23:37:10.875019944Z,2,2025-01-07T23:05:39.775864786Z,,,,,,,,,,,,,01JH1G7R8M3X6SD4X9BKG1VJHV,2025-01-07T23:05:15.926186456Z,5bbbf217a83521000173d9df,2025-01-07T23:05:15.926186456Z,,,,,,,,,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-07T23:05:15.933764826Z,full-comp-between,2025-01-07T23:05:15.933764826Z,"{""participantKey"":""5bbbf217a83521000173d9df"",""STUDY_ID"":""677db0490745f4eefd1ecf86"",""SESSION_ID"":""677db21f1e39f28a72a3087e""}",2025-01-07T23:05:16.28326766Z
01JH1G7TJVSWCEYWVKJK1638VX,https://api.dicebear.com/8.x/rings/svg?seed=Minu,2025-01-07T23:09:24.837470339Z,1.740000,2025-01-07T23:38:45.637926396Z,/tangrams/394_104.png,2025-01-07T23:38:42.099272065Z,game ended,2025-01-07T23:38:45.715273892Z,false,2025-01-07T23:09:24.837470339Z,true,2025-01-07T23:40:03.194267561Z,"{""age"":""42"",""gender"":""Female "",""strategy"":""Memory and word association"",""enjoy"":""He was a bit pushy and rude to be honest "",""feedback"":"""",""education"":""master""}",2025-01-07T23:40:03.180293287Z,01JH1F2GX6BEVR4BAV8462G3EX,2025-01-07T23:05:17.667993835Z,2,2025-01-07T23:06:37.752458972Z,true,2025-01-07T23:09:24.523904432Z,01JH1F2GX6BEVR4BAV8462G3EX,2025-01-07T23:09:24.549863717Z,01JH1GFBP3VFAYMKNHGE0QXB4R,2025-01-07T23:09:24.549863717Z,Minu,2025-01-07T23:09:24.837470339Z,#444EA1,2025-01-07T23:09:24.837470339Z,0,2025-01-07T23:13:01.332301308Z,01JH1G7SYSX8HP9B88RFRMDNHT,2025-01-07T23:05:17.659752719Z,66ecd1ee194d5ad163eafb97@email.prolific.com,2025-01-07T23:05:17.659752719Z,01JH1G7M184NSQQVZ3KZXQD6F6,2025-01-07T23:09:24.837470339Z,matcher,2025-01-07T23:38:34.480191581Z,1.740000,2025-01-07T23:38:45.637926396Z,/avatars/red.png,2025-01-07T23:09:24.837470339Z,"{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-07T23:05:17.667993835Z,full-noncomp,2025-01-07T23:05:17.667993835Z,"{""participantKey"":""66ecd1ee194d5ad163eafb97"",""STUDY_ID"":""677db0490745f4eefd1ecf86"",""SESSION_ID"":""677db26346f3737be1e2897d""}",2025-01-07T23:05:18.037218759Z
01JH1FRFYRMXHJZAAGRWER0PY9,,,,,,,no more games,2025-01-07T23:37:10.875019944Z,,,,,,,null,2025-01-07T23:37:10.875019944Z,2,2025-01-07T22:57:07.237666734Z,,,,,,,,,,,,,01JH1FRFCTD86W7PB5276XM47W,2025-01-07T22:56:55.256942411Z,677d39e57f2741cf5cc45105,2025-01-07T22:56:55.256942411Z,,,,,,,,,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2025-01-07T22:56:55.263159388Z,full-comp-between,2025-01-07T22:56:55.263159388Z,"{""participantKey"":""677d39e57f2741cf5cc45105"",""STUDY_ID"":""677db0490745f4eefd1ecf86"",""SESSION_ID"":""677db1265baaf82a98f17f96""}",2025-01-07T22:56:55.562829193Z
