id,avatar,avatarLastChangedAt,bonus,bonusLastChangedAt,clicked,clickedLastChangedAt,ended,endedLastChangedAt,exitStepDone,exitStepDoneLastChangedAt,exitSurvey,exitSurveyLastChangedAt,gameID,gameIDLastChangedAt,intro,introLastChangedAt,introDone,introDoneLastChangedAt,name,nameLastChangedAt,nameColor,nameColorLastChangedAt,numRoundsInactive,numRoundsInactiveLastChangedAt,participantID,participantIDLastChangedAt,participantIdentifier,participantIdentifierLastChangedAt,partner,partnerLastChangedAt,role,roleLastChangedAt,score,scoreLastChangedAt,src,srcLastChangedAt,treatment,treatmentLastChangedAt,treatmentName,treatmentNameLastChangedAt,urlParams,urlParamsLastChangedAt
01J1GDWY1DVDCH730141770Z5W,,,,,,,game failed,2024-06-28T22:08:04.651573366Z,true,2024-06-28T22:08:35.504872654Z,"{""age"":""19"",""gender"":""Male"",""strategy"":""n/a"",""enjoy"":""n/a"",""feedback"":""Game could not find me a partner"",""education"":""high-school""}",2024-06-28T22:08:35.523100855Z,01J1GDX2EDTXCYB9B8VEBCE6ZH,2024-06-28T22:02:11.575900212Z,2,2024-06-28T22:02:46.916349446Z,true,2024-06-28T22:03:04.575515082Z,,,,,,,01J1GDWWNQBB5XC9YJNB1N9P81,2024-06-28T22:01:50.893053834Z,63d1558211f477f17db0c9c5,2024-06-28T22:01:50.893053834Z,,,,,,,,,"{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-06-28T22:01:50.921943505Z,full-noncomp,2024-06-28T22:01:50.921943505Z,"{""participantKey"":""63d1558211f477f17db0c9c5"",""STUDY_ID"":""667f299f8af19533cae5a843"",""SESSION_ID"":""667f32a848b8508867374b44""}",2024-06-28T22:01:51.678894838Z
01J1GCGE8VVEZPTGH8DD491YFX,,,,,,,game terminated,2024-06-28T22:34:42.68813053Z,,,,,01J1GDHASBXZ6SCDTEHD99JNZ9,2024-06-28T21:56:36.212631503Z,2,2024-06-28T21:37:38.375653923Z,,,,,,,,,01J1GCGE5S5MA2FC9VCDZR7SEW,2024-06-28T21:37:32.955531955Z,5b9577f932e6d50001c72625,2024-06-28T21:37:32.955531955Z,,,,,,,,,"{""contextSize"":4,""contextStructure"":""comp-within"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-06-28T21:37:32.966764941Z,full-comp-within,2024-06-28T21:37:32.966764941Z,"{""participantKey"":""5b9577f932e6d50001c72625"",""STUDY_ID"":""667f299f8af19533cae5a843"",""SESSION_ID"":""667f2d0d9ca58c270024f773""}",2024-06-28T21:37:33.020473027Z
01J1GD6FATZZRY5ZXDCEZXVMGR,https://api.dicebear.com/8.x/rings/svg?seed=Minu,2024-06-28T21:56:09.22089772Z,1.890000,2024-06-28T22:28:32.653452453Z,/tangrams/1_18.png,2024-06-28T22:28:28.739164586Z,game ended,2024-06-28T22:28:32.863227979Z,true,2024-06-28T22:31:04.435160107Z,"{""age"":""20"",""gender"":""Female"",""strategy"":""We tried to describe the shape using familiar objects to us. Some reminded us of a tree or flower, so we called it a flower. If there were triangles on top, we would call them \""spikes.\"" "",""enjoy"":""Yes, they were very good. They were quite friendly. They read and described the shapes quickly."",""feedback"":"""",""education"":""high-school""}",2024-06-28T22:31:04.407997465Z,01J1GBK26D21DVATKGAY8P4SJK,2024-06-28T21:49:34.950771033Z,2,2024-06-28T21:55:43.291280369Z,true,2024-06-28T21:56:08.909265514Z,Minu,2024-06-28T21:56:09.22089772Z,#444EA1,2024-06-28T21:56:09.22089772Z,,,01J1GD6F2K3C069P422K0JFBV7,2024-06-28T21:49:34.938379444Z,6310b6a2faa8651af66ee6de,2024-06-28T21:49:34.938379444Z,01J1GCXGV4QD05R4V0BWWF4098,2024-06-28T21:56:09.22089772Z,matcher,2024-06-28T22:28:14.197080311Z,1.890000,2024-06-28T22:28:32.653452453Z,/avatars/red.png,2024-06-28T21:56:09.22089772Z,"{""contextSize"":4,""contextStructure"":""comp-within"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-06-28T21:49:34.950771033Z,full-comp-within,2024-06-28T21:49:34.950771033Z,"{""participantKey"":""6310b6a2faa8651af66ee6de"",""STUDY_ID"":""667f299f8af19533cae5a843"",""SESSION_ID"":""667f2f944ca7b1aad45b5116""}",2024-06-28T21:49:35.098369981Z
01J1GDKNNVK31FX7VWAR5JJ8KM,https://api.dicebear.com/8.x/rings/svg?seed=Minu,2024-06-28T22:00:58.247214071Z,1.860000,2024-06-28T22:24:05.928175024Z,/tangrams/6_22.png,2024-06-28T22:24:02.512086982Z,game ended,2024-06-28T22:24:06.087594695Z,true,2024-06-28T22:25:38.641391276Z,"{""age"":""28"",""gender"":""Female"",""strategy"":""coming up with real-life objects which the pictures look like"",""enjoy"":""yes, we communicated well"",""feedback"":""no problems, I wish I could have said goodbye to my partner and thanked them for playing with me"",""education"":""bachelor""}",2024-06-28T22:25:38.661115158Z,01J1GC6FWV623Q1S58FYC029H6,2024-06-28T21:56:47.534075396Z,2,2024-06-28T21:59:54.195611543Z,true,2024-06-28T22:00:57.596954798Z,Minu,2024-06-28T22:00:58.247214071Z,#444EA1,2024-06-28T22:00:58.247214071Z,2,2024-06-28T22:13:32.394538087Z,01J1GDKGPFT9KMJ5JBS9QA7FJK,2024-06-28T21:56:47.41932836Z,660d5323957437aa23611e28,2024-06-28T21:56:47.41932836Z,01J1GCKZWY6P0KJD736C8JZX44,2024-06-28T22:00:58.247214071Z,matcher,2024-06-28T22:23:56.355349154Z,1.860000,2024-06-28T22:24:05.928175024Z,/avatars/red.png,2024-06-28T22:00:58.247214071Z,"{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-06-28T21:56:47.534075396Z,full-noncomp,2024-06-28T21:56:47.534075396Z,"{""participantKey"":""660d5323957437aa23611e28"",""STUDY_ID"":""667f299f8af19533cae5a843"",""SESSION_ID"":""667f3189950112de97b08db1""}",2024-06-28T21:56:47.912070248Z
01J1GCFFT5VZKE8R0766EQR2EM,https://api.dicebear.com/8.x/rings/svg?seed=Repi,2024-06-28T21:49:36.884706047Z,1.920000,2024-06-28T22:14:18.785343152Z,/tangrams/0_16.png,2024-06-28T22:14:15.438526472Z,game ended,2024-06-28T22:14:18.904566365Z,true,2024-06-28T22:17:20.030968702Z,"{""age"":""24"",""gender"":""Female"",""strategy"":""Early on it was describing key points of the image and then we seemed to wordlessly agree on how some images looked consistantly."",""enjoy"":""Yes, I think it was fun. They were able to sort out answers in a fairly quick manner."",""feedback"":""It does become difficult to find descriptors outside of the ones established after so many rounds, but no problems encountered."",""education"":""other""}",2024-06-28T22:17:20.048642732Z,01J1GC6FWRQ635VP9NEJPYXAAA,2024-06-28T21:37:01.778788516Z,2,2024-06-28T21:38:51.233527632Z,true,2024-06-28T21:39:32.483595956Z,Repi,2024-06-28T21:49:36.884706047Z,#29828D,2024-06-28T21:49:36.884706047Z,,,01J1GCFFGV1TY7S958NEFHSP6Z,2024-06-28T21:37:01.765738272Z,6679e3487ee13afaef3e5f53,2024-06-28T21:37:01.765738272Z,01J1GD391VNBF9K9ZF71FRRCXM,2024-06-28T21:49:36.884706047Z,director,2024-06-28T22:13:49.679843098Z,1.920000,2024-06-28T22:14:18.785343152Z,/avatars/blue.png,2024-06-28T21:49:36.884706047Z,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-06-28T21:37:01.778788516Z,full-comp-between,2024-06-28T21:37:01.778788516Z,"{""participantKey"":""6679e3487ee13afaef3e5f53"",""STUDY_ID"":""667f299f8af19533cae5a843"",""SESSION_ID"":""667f2cc759d6aed427b00886""}",2024-06-28T21:37:01.941785002Z
01J1GCTBVK12MQ5CB3YAC9C6SQ,https://api.dicebear.com/8.x/rings/svg?seed=Repi,2024-06-28T21:46:50.849982374Z,1.920000,2024-06-28T22:05:02.995340994Z,/tangrams/8_24.png,2024-06-28T22:04:59.705472691Z,game ended,2024-06-28T22:05:03.130926099Z,true,2024-06-28T22:08:48.614036727Z,"{""age"":""46"",""gender"":""Female"",""strategy"":""We described the image using things the other person would know (eg. flower, spaceship)."",""enjoy"":""I did enjoy it since we could request more information and it made it really feel like a game. If the description was written prior and I was alone doing this activity, it wouldn't have been as fun."",""feedback"":""I had a bit of trouble clicking the image on one trial. It would not let me select the image."",""education"":""other""}",2024-06-28T22:08:48.579394575Z,01J1GBK26FB54362GGJR86CQAT,2024-06-28T21:42:58.177279012Z,2,2024-06-28T21:45:00.439478257Z,true,2024-06-28T21:46:29.27786539Z,Repi,2024-06-28T21:46:50.849982374Z,#29828D,2024-06-28T21:46:50.849982374Z,,,01J1GCTBNXGZV8C493JJQ48EKN,2024-06-28T21:42:58.163265356Z,655406164f5cc9be5b0f3a06,2024-06-28T21:42:58.163265356Z,01J1GCX8GDS14BXNM6CHK2N3YD,2024-06-28T21:46:50.849982374Z,director,2024-06-28T22:04:49.759874297Z,1.920000,2024-06-28T22:05:02.995340994Z,/avatars/blue.png,2024-06-28T21:46:50.849982374Z,"{""contextSize"":4,""contextStructure"":""noncomp"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-06-28T21:42:58.177279012Z,full-noncomp,2024-06-28T21:42:58.177279012Z,"{""participantKey"":""655406164f5cc9be5b0f3a06"",""STUDY_ID"":""667f299f8af19533cae5a843"",""SESSION_ID"":""667f2e3026dbf9d28c7c9bf1""}",2024-06-28T21:42:58.268218842Z
01J1GCXRR9A6DSJ0SRBJ6CCP9P,https://api.dicebear.com/8.x/rings/svg?seed=Minu,2024-06-28T21:48:26.916876437Z,1.890000,2024-06-28T22:00:34.407709387Z,/tangrams/0_16.png,2024-06-28T22:00:31.17221684Z,game ended,2024-06-28T22:00:34.489420069Z,true,2024-06-28T22:01:27.924225372Z,"{""age"":""27"",""gender"":""Male"",""strategy"":""figured out words for each shape and then used that to reference them"",""enjoy"":""yes as we worked well together"",""feedback"":""none"",""education"":""master""}",2024-06-28T22:01:27.939342286Z,01J1GBK26CYMKC01RC7CNKBGM1,2024-06-28T21:44:49.682324602Z,2,2024-06-28T21:47:57.341696188Z,true,2024-06-28T21:48:26.743289418Z,Minu,2024-06-28T21:48:26.916876437Z,#444EA1,2024-06-28T21:48:26.916876437Z,,,01J1GCXR4WEPRJRGNKKTG2J16T,2024-06-28T21:44:49.673887053Z,63d16db590b1cad99178a991,2024-06-28T21:44:49.673887053Z,01J1GCRN9GSBF74K18QEQ0K2S6,2024-06-28T21:48:26.916876437Z,matcher,2024-06-28T22:00:25.218769186Z,1.890000,2024-06-28T22:00:34.407709387Z,/avatars/red.png,2024-06-28T21:48:26.916876437Z,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-06-28T21:44:49.682324602Z,full-comp-between,2024-06-28T21:44:49.682324602Z,"{""participantKey"":""63d16db590b1cad99178a991"",""STUDY_ID"":""667f299f8af19533cae5a843"",""SESSION_ID"":""667f2e81ed583b62cf7aaf37""}",2024-06-28T21:44:50.016837816Z
01J1GCXGV4QD05R4V0BWWF4098,https://api.dicebear.com/8.x/rings/svg?seed=Repi,2024-06-28T21:56:09.22089772Z,1.890000,2024-06-28T22:28:32.653452453Z,/tangrams/1_18.png,2024-06-28T22:28:29.138532162Z,game ended,2024-06-28T22:28:32.863227979Z,true,2024-06-28T22:30:06.070073643Z,"{""age"":""34"",""gender"":""Male"",""strategy"":""I tried to use the simplest language and the most familiar shapes as reference. "",""enjoy"":""Yes, because it foments creativity while trying to simplify concepts as much as possible"",""feedback"":""The comprehension test was the hardest part "",""education"":""master""}",2024-06-28T22:30:05.97720711Z,01J1GBK26D21DVATKGAY8P4SJK,2024-06-28T21:44:41.581825146Z,2,2024-06-28T21:45:22.105857954Z,true,2024-06-28T21:49:18.840433367Z,Repi,2024-06-28T21:56:09.22089772Z,#29828D,2024-06-28T21:56:09.22089772Z,,,01J1GCXGEX7MQ8MSVQMNMHFA8N,2024-06-28T21:44:41.573025612Z,667973ec91f84951ee04a92f,2024-06-28T21:44:41.573025612Z,01J1GD6FATZZRY5ZXDCEZXVMGR,2024-06-28T21:56:09.22089772Z,director,2024-06-28T22:28:14.197080311Z,1.890000,2024-06-28T22:28:32.653452453Z,/avatars/blue.png,2024-06-28T21:56:09.22089772Z,"{""contextSize"":4,""contextStructure"":""comp-within"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-06-28T21:44:41.581825146Z,full-comp-within,2024-06-28T21:44:41.581825146Z,"{""participantKey"":""667973ec91f84951ee04a92f"",""STUDY_ID"":""667f299f8af19533cae5a843"",""SESSION_ID"":""667f2eb2fc3996f9283fecbc""}",2024-06-28T21:44:41.774530671Z
01J1GD0MTFS2D84TZRNMFYNFZZ,,,,,,,no more games,2024-06-28T21:49:36.681463044Z,,,,,null,2024-06-28T21:49:36.681463044Z,2,2024-06-28T21:48:54.576459065Z,,,,,,,,,01J1GD0KZ0G8ZRR2A6EPSGMRPC,2024-06-28T21:46:23.951684367Z,5c36415362073c000166c847,2024-06-28T21:46:23.951684367Z,,,,,,,,,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-06-28T21:46:23.962770203Z,full-comp-between,2024-06-28T21:46:23.962770203Z,"{""participantKey"":""5c36415362073c000166c847"",""STUDY_ID"":""667f299f8af19533cae5a843"",""SESSION_ID"":""667f2eed3a1342cc5a0c6d97""}",2024-06-28T21:46:24.408673188Z
01J1GD391VNBF9K9ZF71FRRCXM,https://api.dicebear.com/8.x/rings/svg?seed=Minu,2024-06-28T21:49:36.884706047Z,1.920000,2024-06-28T22:14:18.785343152Z,/tangrams/0_16.png,2024-06-28T22:14:15.451214845Z,game ended,2024-06-28T22:14:18.904566365Z,true,2024-06-28T22:15:09.284764359Z,"{""age"":""37"",""gender"":""Female"",""strategy"":""We figured out our own way of describing certain shapes that repeatedly showed up (e.g. bite in corner, spikey top)."",""enjoy"":""It was very enjoyable once we started figuring out a common language for what things looked like."",""feedback"":"""",""education"":""bachelor""}",2024-06-28T22:15:09.268876724Z,01J1GC6FWRQ635VP9NEJPYXAAA,2024-06-28T21:48:26.754042096Z,2,2024-06-28T21:48:49.905947366Z,true,2024-06-28T21:49:36.676041735Z,Minu,2024-06-28T21:49:36.884706047Z,#444EA1,2024-06-28T21:49:36.884706047Z,,,01J1GD38W2322TPXP9XSSH35J4,2024-06-28T21:47:50.203185339Z,6672ed671976c19f642e6a2b,2024-06-28T21:47:50.203185339Z,01J1GCFFT5VZKE8R0766EQR2EM,2024-06-28T21:49:36.884706047Z,matcher,2024-06-28T22:13:49.679843098Z,1.920000,2024-06-28T22:14:18.785343152Z,/avatars/red.png,2024-06-28T21:49:36.884706047Z,"{""contextSize"":4,""contextStructure"":""comp-between"",""feedbackDuration"":3,""maxTimeout"":3,""numRepetitionsWithPartner"":4,""playerCount"":2,""selectionDuration"":60,""showNegativeFeedback"":1}",2024-06-28T21:47:50.21447484Z,full-comp-between,2024-06-28T21:47:50.21447484Z,"{""participantKey"":""6672ed671976c19f642e6a2b"",""STUDY_ID"":""667f299f8af19533cae5a843"",""SESSION_ID"":""667f2f780c5574b219f15de4""}",2024-06-28T21:47:50.303578166Z
